id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
18063,IL91,closed,Testoni Farms Airport,41.020901,-88.653397,688,NA,US,US-IL,Cornell,no,,,,,,IL91
18064,IL92,heliport,UChicago Medicine Ingalls Memorial Heliport,41.605726,-87.659967,608,NA,US,US-IL,Harvey,no,IL92,,IL92,,,Ingalls Memorial Hospital
18065,IL93,small_airport,Hendrickson Flying Service Airport,41.94530106,-88.9240036,889,NA,US,US-IL,Creston,no,IL93,,IL93,,,
18066,IL94,small_airport,Hoblit Farms Airport,40.22629929,-89.24289703,623,NA,US,US-IL,Atlanta,no,IL94,,IL94,,,
18067,IL95,small_airport,Corn Field,41.22309875,-88.14530182,585,NA,US,US-IL,Custer Park,no,IL95,,IL95,,,
18068,IL96,heliport,Kaiser Heliport,41.38510132,-87.72029877,750,NA,US,US-IL,Monee,no,IL96,,IL96,,,
18069,IL97,small_airport,Springfield Southwest Airpark,39.73699951,-89.80979919,635,NA,US,US-IL,New Berlin,no,IL97,,IL97,,,
18070,IL98,heliport,Chicagoland Speedway Heliport,41.47969818,-88.0582962,650,NA,US,US-IL,Joliet,no,IL98,,IL98,,,
18071,IL99,small_airport,B & C Airport,41.59280014,-88.96730042,715,NA,US,US-IL,Earlville,no,IL99,,IL99,,,
313285,ILX,closed,Ileg Airport,-5.4917,145.8022,60,OC,PG,PG-MPM,Ileg,no,,ILX,,,,
299581,IM-0001,small_airport,Andreas Airfield,54.37111111,-4.423333333,97,EU,IM,IM-U-A,Andreas,no,,,,,https://en.wikipedia.org/wiki/RAF_Andreas,RAF Andreas
314319,IM-0002,closed,RAF Jurby,54.354,-4.5238,84,EU,IM,IM-U-A,Jurby,no,,,,,https://en.wikipedia.org/wiki/RAF_Jurby,
318011,IM-0003,small_airport,Mount Rule Farm Airstrip,54.182127,-4.51311,316,EU,IM,IM-U-A,Braddan,no,,,,,,
332857,IM-0004,small_airport,Andreas-Ballavoddan House Airstrip,54.356006,-4.438477,,EU,IM,IM-U-A,Andreas,no,,,,,,AG8404
329109,IM-0005,heliport,Noble's Hospital Heliport,54.1703682,-4.507838,,EU,IM,IM-U-A,Douglas,no,,,,,,
312936,IMA,small_airport,Iamalele Airport,-9.5107,150.5246,40,OC,PG,PG-MBA,"Iamalele, Fergusson Island",no,,IMA,IAM,,,
311990,IMG,small_airport,Inhaminga Airport,-18.41,35.0045,1072,AF,MZ,MZ-S,Inhaminga,no,,IMG,,,,
35129,IN-0001,heliport,Siachen Glacier AFS Airport,35.5,77,22000,AS,IN,IN-JK,,no,,,,,,
35130,IN-0002,heliport,Tawang Air Force Station,27.58846092,91.87769318,8756,AS,IN,IN-AR,,no,,,,,,
42716,IN-0003,small_airport,Daulat Beg Oldi Advanced Landing Ground,35.39646671,77.92896509,16200,AS,IN,IN-JK,,no,,,,,https://en.wikipedia.org/wiki/Daulat_Beg_Oldi_Advanced_Landing_Ground,
42717,IN-0004,heliport,Leh Helipad,34.12866974,77.53653717,10682,AS,IN,IN-JK,,no,,,,,,
42721,IN-0005,closed,Kayathar Airstrip,8.970609,77.816847,,AS,IN,IN-TN,Ahilandapuram,no,,,,,,
42722,IN-0006,closed,Chettinad Airstrip,10.16499615,78.79376984,,AS,IN,IN-TN,,no,,,,,,
42724,IN-0007,heliport,Minicoy Heliport,8.27363,73.022301,,AS,IN,IN-LD,Minicoy,no,,,,,,Maliku
42729,IN-0008,heliport,Kavaratti Helipad,10.54166794,72.61604309,,AS,IN,IN-LD,,no,,,,,,
42730,IN-0009,heliport,Gangtok Helipad,27.35569763,88.61410522,,AS,IN,IN-SK,,no,,,,,,
42731,IN-0010,small_airport,Walong Advanced Landing Ground,28.129673,97.01966095,,AS,IN,IN-AR,,no,,,,,https://en.wikipedia.org/wiki/Walong,
43966,IN-0011,medium_airport,Jakkur Aerodrome,13.07674,77.597645,3013,AS,IN,IN-KA,Bengaluru,no,VOJK,,,,https://en.wikipedia.org/wiki/Jakkur_Aerodrome,
44362,IN-0012,small_airport,Pakyong Airport,27.2313,88.587196,4590,AS,IN,IN-SK,Pakyong,no,VEPY,PYG,,,https://en.wikipedia.org/wiki/Pakyong_Airport,
44908,IN-0013,small_airport,Nadirgul Airport,17.30606651,78.56048584,1811,AS,IN,IN-TG,,no,,,,http://www.aai.aero/allAirports/nadirgul.jsp,https://en.wikipedia.org/wiki/Nadirgul_Airport,"NDGL, Nadirgul,"
44475,IN-0014,closed,Koirengei Airstrip,24.87245941,93.92568207,,AS,IN,IN-MN,,no,,,,,,
44582,IN-0015,small_airport,Baljek Airport,25.66148758,90.34503937,,AS,IN,IN-ML,,yes,,,,,,
46282,IN-0016,closed,Ledo Airfield,27.3025,95.737222,,AS,IN,IN-AS,,no,,,,,https://en.wikipedia.org/wiki/Ledo_Airfield,
46283,IN-0017,closed,Dudhkundi Airfield,22.32459157,87.10741997,,AS,IN,IN-WB,,no,,,,,https://en.wikipedia.org/wiki/Dudhkundi_Airfield,
46284,IN-0018,closed,Piardoba Airfield,22.98950855,87.29959488,,AS,IN,IN-WB,,no,,,,,https://en.wikipedia.org/wiki/Piardoba_Airfield,
46285,IN-0019,closed,Dinjan Airfield,27.538017,95.269447,,AS,IN,IN-AS,,no,,,,,https://en.wikipedia.org/wiki/Dinjan_Airfield,
46287,IN-0020,closed,Ulundurpet Airstrip,11.688549,79.321375,,AS,IN,IN-TN,Villupuram,no,,,,,,
46376,IN-0021,heliport,Shikra Naval Helibase,18.91334568,72.82921135,,AS,IN,IN-MM,Mumbai,no,,,,,,
46377,IN-0022,heliport,Kunjali Helipad,18.89527337,72.80849397,,AS,IN,IN-MM,Mimbai,no,,,,,,
46481,IN-0023,small_airport,Amreli Airport,21.621416,71.226309,428,AS,IN,IN-GJ,Amreli,no,,,,,https://en.wikipedia.org/wiki/Amreli_Airport,XAM
46518,IN-0024,small_airport,Baramati Airport,18.226944,74.590833,1978,AS,IN,IN-MM,Pune,yes,,,BMT,,,
46512,IN-0025,small_airport,Faizabad Airport,26.7511282,82.1543651,350,AS,IN,IN-UP,Faizabad,yes,,,,,,
46515,IN-0026,small_airport,Korba Airport,22.41416667,82.71944444,1200,AS,IN,IN-CT,Rumgara,no,,,,,,
46550,IN-0027,heliport,Thuampui Helipad,23.745644,92.736828,3214,AS,IN,IN-MZ,Aizawl,no,,,,,,Zemabawk Helipad
46551,IN-0028,heliport,Pukpui Helipad,22.94226667,92.76885,,AS,IN,IN-MZ,,no,,,,,,"Lunglei,helipad"
46552,IN-0029,heliport,Sethlun Heliport,22.868383,92.7633,,AS,IN,IN-MZ,Lunglei,no,,,,,,
46553,IN-0030,heliport,Serchhip Helipad,23.32875,92.85606667,,AS,IN,IN-MZ,Serchhip,no,,,,,,
46554,IN-0031,heliport,Vairengte Helipad,24.47891667,92.75393333,,AS,IN,IN-MZ,,no,,,,,,
46555,IN-0032,heliport,Saiha Helipad,22.48858333,92.98695,,AS,IN,IN-MZ,Saiha,yes,,,,,,
46556,IN-0033,small_airport,Aamby Valley Airport,18.609617,73.377583,2262,AS,IN,IN-MM,Aamby Valley City,no,VAAV,,,,https://en.wikipedia.org/wiki/Aamby_Valley_Airport,
46557,IN-0034,small_airport,Vijay Nagar Airport,19.8841,73.84056667,,AS,IN,IN-MM,Vijay Nagar,no,,,,,,
46558,IN-0035,heliport,Sevoke Road Indian Army Heliport,26.7744,88.45231667,472,AS,IN,IN-WB,Salugara,no,,,,,,
46559,IN-0036,heliport,Pelling Helipad,27.3005,88.23085,,AS,IN,IN-SK,Pelling City,no,,,,,,
46560,IN-0037,heliport,Namchi Helipad,27.156733,88.322067,,AS,IN,IN-SK,Nayabazar,no,,,,,,Assangthang Helipad
46561,IN-0038,heliport,Upper Tadong Indian Army Helipad,27.30671667,88.59965,,AS,IN,IN-SK,Upper Tadong,no,,,,,,
46562,IN-0039,heliport,Lebong Helipad,27.05908333,88.27773333,,AS,IN,IN-WB,Lebong,no,,,,,,
46563,IN-0040,heliport,Pedong Helipad,27.15593333,88.61065,,AS,IN,IN-SK,Pedong,no,,,,,,
46564,IN-0041,heliport,HQ Eastern Air Command Helipad,25.53818333,91.82655,,AS,IN,IN-ML,Myliem,no,,,,,,
46565,IN-0042,heliport,Shillong Indian Army Helipad,25.54425,91.88171667,,AS,IN,IN-ML,Shillong,no,,,,,,
46566,IN-0043,heliport,STC BSF Indian Army Helipad,24.3267,93.67546667,,AS,IN,IN-MN,Gangpimual,no,,,,,,
46567,IN-0044,heliport,PAP Complex Heliport,31.29208333,75.6072,766,AS,IN,IN-PB,Jalandhar,no,,,,,,
46568,IN-0045,heliport,Catholic Medical Centre Helipad,24.8062,93.94275,,AS,IN,IN-MN,Kangla,no,,,,,,
